epochs,loss,mae,accuracy,precision,recall,val_loss,val_mae,val_accuracy,val_precision,val_recall
0,0.107237861,0.260824084,0.0133410674,0.512550831,0.44821173,0.0336490013,0.156363964,0.0295296349,0.619807839,0.929933429
1,0.0468578488,0.176829189,0.0202488918,0.572576404,0.702290118,0.0255660247,0.133999288,0.0301624127,0.621917486,0.972281218
2,0.0388467833,0.161168531,0.0234127827,0.604771495,0.767917275,0.0232753418,0.127014399,0.0299514867,0.666354358,0.942092597
3,0.0328094885,0.146804824,0.0251529217,0.62217927,0.810153544,0.019495355,0.114262804,0.0303733386,0.674937725,0.955564976
4,0.0288321301,0.136644706,0.0264712088,0.627785742,0.852023721,0.0203596409,0.11518579,0.0295296349,0.694593668,0.919164062
5,0.0259739067,0.129511148,0.0270512551,0.629583597,0.885921717,0.0176237095,0.109280378,0.0303733386,0.680537701,0.960237324
6,0.0236494727,0.124231942,0.0271039866,0.638887405,0.92118305,0.015446566,0.103704691,0.0303733386,0.648400307,0.982630968
7,0.0219648462,0.119833216,0.0277367644,0.638884842,0.939927757,0.0153994896,0.103653692,0.0303733386,0.623907745,0.9930439
8,0.0204719584,0.116126239,0.0276840329,0.639733076,0.952568293,0.0179166514,0.111112833,0.0301624127,0.684855461,0.930932224
9,0.0194193143,0.113412477,0.0277894959,0.646975875,0.961896956,0.0155022638,0.104583479,0.0305842645,0.620402396,0.991793156
10,0.0189204905,0.111843236,0.0277894959,0.644855082,0.962184846,0.0155909583,0.105683833,0.0305842645,0.673029423,0.97171855
11,0.0179169029,0.108717158,0.0278422274,0.656117916,0.967739522,0.0148789603,0.102244548,0.0303733386,0.655226827,0.97697562
12,0.0175013915,0.106732294,0.0276840329,0.654986918,0.964046121,0.0148627851,0.102813259,0.0305842645,0.649830043,0.981921375
13,0.01677371,0.104430363,0.0278422274,0.662232876,0.968267322,0.0139245782,0.094594121,0.0303733386,0.685527444,0.966355145
14,0.0166023951,0.102393925,0.0278422274,0.666926682,0.965336204,0.0154819191,0.10294719,0.0301624127,0.667541325,0.961999416
15,0.0159850474,0.100092039,0.0278422274,0.66357404,0.967516482,0.0157267097,0.100866206,0.0305842645,0.629534543,0.988331854
16,0.0161869265,0.100281402,0.0277367644,0.654443741,0.967561543,0.0145073254,0.0964613035,0.0305842645,0.63266778,0.983461201
17,0.0152495168,0.0964893773,0.0277894959,0.652413726,0.975863576,0.0140556768,0.0951939896,0.0303733386,0.630745351,0.98698777
18,0.0146625778,0.0944579095,0.0277894959,0.658085644,0.975233376,0.0141535886,0.0947344899,0.0303733386,0.658198595,0.977127254
19,0.0145960776,0.0939619169,0.0277894959,0.656691492,0.977021098,0.0135831963,0.0910389721,0.0305842645,0.648429573,0.980391026
20,0.0144336894,0.0935686603,0.0278422274,0.657345414,0.978018641,0.0145734949,0.0973828435,0.0303733386,0.631130815,0.984175861
21,0.0139928861,0.0920702815,0.0278422274,0.658741355,0.9822191,0.0138704851,0.0934215486,0.0303733386,0.668394148,0.976508915
22,0.0137656247,0.0916934907,0.0278422274,0.65265286,0.979912341,0.014310779,0.0955942571,0.0305842645,0.622993171,0.99517864
23,0.013439252,0.0903983861,0.0278422274,0.656025827,0.984721065,0.0128859198,0.0888299048,0.0305842645,0.657638073,0.984502673
24,0.0130787129,0.0891719833,0.0278422274,0.659677207,0.983628631,0.0129384371,0.0868620053,0.0303733386,0.635295093,0.989522517
