epochs,loss,dense_35_loss,dense_41_loss,dense_47_loss,dense_35_mae,dense_35_accuracy,dense_35_precision,dense_35_recall,dense_41_mae,dense_41_accuracy,dense_41_precision,dense_41_recall,dense_47_mae,dense_47_accuracy,dense_47_precision,dense_47_recall,val_loss,val_dense_35_loss,val_dense_41_loss,val_dense_47_loss,val_dense_35_mae,val_dense_35_accuracy,val_dense_35_precision,val_dense_35_recall,val_dense_41_mae,val_dense_41_accuracy,val_dense_41_precision,val_dense_41_recall,val_dense_47_mae,val_dense_47_accuracy,val_dense_47_precision,val_dense_47_recall
0,3.475262642,0.196218774,0.693823218,2.585220337,0.353042603,0.00616958458,0.4983643,0.225006819,0.499244094,0.527209461,0.455824941,0.156143129,1.216608763,0.316810787,0.574799836,0.474486232,2.68486166,0.0587526001,0.687809348,1.938299775,0.207526788,0,0,0,0.497204393,0.591436386,0.788383722,0.209305108,1.127748251,0.187724113,0.572532892,1
1,2.862855673,0.0773602799,0.653816521,2.131679296,0.22933796,0.0123391692,0.501059532,0.482210755,0.467377901,0.613636374,0.651907861,0.38565743,1.18044889,0.234707862,0.576207638,0.816963732,2.403294563,0.0468332283,0.527132094,1.829329014,0.176438615,0.0329044499,0.512692988,0.98917979,0.38983199,0.775574744,0.733816743,0.820456862,1.102371812,0.187724113,0.572532892,1
2,2.635134935,0.0629526973,0.553950608,2.01823163,0.207501829,0.0144484285,0.509745657,0.541848242,0.377214164,0.735076964,0.753742754,0.659699678,1.156441927,0.220364898,0.574259043,0.868373096,2.191082239,0.0412089601,0.40496707,1.744906664,0.172345385,0.0331153758,0.490583867,1,0.298285037,0.831681073,0.831240535,0.818971872,1.081326008,0.187724113,0.572532892,1
3,2.450093508,0.0558462292,0.487488478,1.906759024,0.195233628,0.0163994934,0.519948721,0.582141995,0.323421001,0.780689716,0.784847915,0.745809793,1.127265215,0.221577719,0.574706912,0.873633802,2.146948338,0.0412464142,0.362206876,1.74349463,0.170195192,0.0331153758,0.490583867,1,0.265343755,0.8512972,0.850621998,0.850106478,1.080853224,0.187724113,0.572532892,1
4,2.331091881,0.0499095246,0.452964902,1.828217864,0.18618913,0.019616114,0.523828804,0.63792944,0.295279592,0.801571369,0.807855606,0.766266048,1.110115647,0.217781052,0.577922046,0.89652431,2.040916681,0.0401772074,0.359378308,1.641361237,0.16908285,0.0331153758,0.490583867,1,0.264432192,0.853828311,0.846779883,0.86309433,1.055638909,0.187724113,0.572532892,1
5,2.253601313,0.0455439389,0.433925331,1.77413249,0.177821383,0.0204598177,0.523022234,0.731394231,0.282195687,0.817127168,0.82148242,0.788553119,1.087090015,0.198744997,0.579581201,0.995767593,1.886525512,0.0369631872,0.306307971,1.543254375,0.164639935,0.0331153758,0.490583867,1,0.206297785,0.861632586,0.845444322,0.885265768,1.028704286,0.187724113,0.572532892,1
6,2.140772581,0.0420780294,0.406775117,1.69192028,0.171018094,0.0216199122,0.513960838,0.794659436,0.261204481,0.82651341,0.828551173,0.80242908,1.052494049,0.217886522,0.590429485,0.989749193,1.844313741,0.0343535058,0.308737546,1.501222491,0.15950872,0.0331153758,0.490583867,1,0.209457055,0.866061985,0.886815846,0.838007092,0.996763587,0.187724113,0.572532892,1
7,2.081571579,0.0395455845,0.390435785,1.651590109,0.166337878,0.024203755,0.515696466,0.860672414,0.251283556,0.844283879,0.849769771,0.817052364,1.034616351,0.232756808,0.59908551,0.988254011,1.820683241,0.0354736894,0.302406371,1.482803226,0.161326379,0.0331153758,0.490583867,1,0.209020734,0.874709964,0.891178906,0.853099823,0.987489581,0.188567817,0.573002338,1
8,1.998058438,0.0374684334,0.376411974,1.584177375,0.161769241,0.0251001902,0.515561938,0.917490125,0.241252601,0.846498609,0.852042615,0.821017504,1.003746629,0.256907821,0.613909543,0.982407868,1.742431641,0.0318699703,0.276287854,1.434273124,0.153454542,0.0331153758,0.490583867,1,0.176745504,0.878928483,0.899688244,0.852741659,0.966706753,0.192997262,0.575553715,1
9,1.966033101,0.0362298228,0.369309276,1.560493469,0.158995241,0.0264184773,0.50447613,0.960033417,0.235012129,0.851191759,0.857383072,0.82379514,0.983090281,0.273887366,0.62565279,0.980178654,1.70217824,0.0324446037,0.283102274,1.38663125,0.154598609,0.0331153758,0.490583867,1,0.166083619,0.872389793,0.86163348,0.887439728,0.959806144,0.218730226,0.590265036,0.999675155
