epochs,loss,dense_23_loss,dense_29_loss,dense_23_mae,dense_23_accuracy,dense_23_precision,dense_23_recall,dense_29_mae,dense_29_accuracy,dense_29_precision,dense_29_recall,val_loss,val_dense_23_loss,val_dense_29_loss,val_dense_23_mae,val_dense_23_accuracy,val_dense_23_precision,val_dense_23_recall,val_dense_29_mae,val_dense_29_accuracy,val_dense_29_precision,val_dense_29_recall
0,2.684206009,0.177345619,2.506859779,0.354624927,0.00574773271,0.487222552,0.223481715,1.210627079,0.306633621,0.577984393,0.522893012,2.044689417,0.0597596094,1.984929919,0.211063206,0,0,0,1.13250494,0.192997262,0.577590466,1
1,2.189730167,0.0855217874,2.104208708,0.241129547,0.0123391692,0.498110414,0.441382915,1.174299955,0.231649444,0.575929344,0.831867576,1.845008969,0.0487297922,1.796279073,0.181227237,0.00379666733,0.688096404,0.0883450285,1.101843715,0.192997262,0.577590466,1
2,2.03333354,0.0669694692,1.966365099,0.215293676,0.0146593545,0.488544017,0.499805182,1.150449991,0.210820496,0.575599074,0.915500939,1.74395442,0.0445426702,1.699411631,0.174735188,0.0282640792,0.501398027,1,1.082376361,0.192997262,0.577590466,1
3,1.912929416,0.0543300621,1.858600259,0.19466041,0.0159776416,0.513205469,0.541456759,1.125412703,0.206021935,0.574991405,0.934997559,1.579381585,0.0405373089,1.538844228,0.171916947,0.0282640792,0.501398027,1,1.057657957,0.192997262,0.577590466,1
4,1.857934356,0.0475150831,1.810419559,0.181861788,0.019616114,0.531026542,0.624364555,1.108646393,0.208869442,0.577345908,0.933520198,1.599315047,0.0402438417,1.559071064,0.171922341,0.0282640792,0.501398027,1,1.052848577,0.192997262,0.577590466,1
5,1.825052619,0.042592708,1.782459497,0.172402412,0.0240455605,0.501468778,0.833640456,1.097484112,0.201276109,0.576812267,0.962408364,1.582444549,0.0383900702,1.544054627,0.168415725,0.0282640792,0.501398027,1,1.033306479,0.192997262,0.577590466,1
6,1.756876349,0.0400303937,1.716845632,0.168202788,0.0250474587,0.495179355,0.867340505,1.078912616,0.190940723,0.576165378,0.999355853,1.607778072,0.0377489068,1.570029378,0.168381661,0.0282640792,0.501398027,1,1.029886127,0.192997262,0.577590466,1
7,1.710415959,0.0379945375,1.672421336,0.163968727,0.027473107,0.496028572,0.976805389,1.063284993,0.191784427,0.576538384,0.999814868,1.583401799,0.0390226729,1.544378996,0.171525717,0.0282640792,0.501398027,1,1.022268534,0.192997262,0.577590466,1
8,1.67221415,0.0369391777,1.635274768,0.162627906,0.0283168107,0.495776892,0.999563336,1.051748157,0.199272305,0.580104649,0.997959852,1.587818503,0.0365854017,1.551233172,0.166692883,0.0282640792,0.501398027,1,1.01262641,0.192997262,0.577590466,1
9,1.640063763,0.0364423245,1.60362184,0.162053645,0.0283695422,0.495779753,0.999686658,1.029965162,0.222421438,0.59448421,0.985442698,1.483340859,0.0387318842,1.444608688,0.171449319,0.0282640792,0.501398027,1,0.994945586,0.192997262,0.577590466,1
