epochs,loss,mae,accuracy,precision,recall,val_loss,val_mae,val_accuracy,val_precision,val_recall
0,0.692298949,0.498835027,0.527262151,0.273066312,0.103613876,0.679226875,0.492312074,0.627293825,0.676506102,0.387162805
1,0.651756883,0.465457976,0.643851519,0.715035379,0.436385125,0.563915074,0.419369936,0.787808478,0.767292917,0.791269898
2,0.562427938,0.386007905,0.731491268,0.799779654,0.591390431,0.47221458,0.351358294,0.821556628,0.834423721,0.727975368
3,0.507956088,0.338143349,0.765608549,0.817801058,0.659959376,0.414590359,0.297809362,0.844758511,0.866386831,0.745214045
4,0.477121234,0.309959739,0.791341484,0.831853509,0.713446677,0.371658862,0.262668222,0.859945178,0.851975799,0.798443735
5,0.44248718,0.283855677,0.813383281,0.842305064,0.755253315,0.335176975,0.236480713,0.866905689,0.83074981,0.844455421
6,0.417827785,0.265061498,0.827040732,0.846931696,0.78080827,0.33762747,0.23771438,0.870913327,0.869781196,0.803542733
7,0.402899772,0.255963117,0.835319579,0.856708884,0.785560846,0.32605198,0.215130135,0.870913327,0.891236126,0.779268205
8,0.394681543,0.24658899,0.842807412,0.858532667,0.806043625,0.307110965,0.210169807,0.874920905,0.880772352,0.857251942
9,0.374569744,0.23574385,0.848924279,0.862744629,0.811002731,0.293794274,0.189987302,0.878717542,0.870922387,0.879411101
10,0.367011905,0.228666663,0.854882956,0.872773051,0.817388892,0.287999243,0.188174203,0.882514238,0.89894408,0.853156865
11,0.373100549,0.231674731,0.852562726,0.87201488,0.814036965,0.287782103,0.182006285,0.881459594,0.900740445,0.847810864
12,0.352867097,0.216886252,0.859259665,0.879802406,0.817381561,0.294693172,0.191589713,0.882303298,0.900792181,0.850684524
13,0.350608379,0.21790947,0.861843467,0.878769815,0.823105752,0.277153045,0.18047452,0.886099994,0.909101367,0.84961319
14,0.338909298,0.209465384,0.865745604,0.882181287,0.83297503,0.28285113,0.172019362,0.883779764,0.900616288,0.854323208
15,0.335371822,0.207358405,0.86722213,0.887786448,0.827296376,0.275059432,0.173428744,0.886732757,0.921882451,0.83690834
16,0.331812978,0.204525173,0.869858682,0.888768315,0.834912181,0.279229194,0.175731093,0.884623468,0.900190771,0.857350826
17,0.319985628,0.195966318,0.879877687,0.897724628,0.845287859,0.282573491,0.169842809,0.886521816,0.930202007,0.82790643
18,0.321235001,0.193404049,0.878717542,0.900582314,0.842419028,0.268673152,0.166591763,0.888631105,0.911872983,0.852672398
19,0.29968065,0.185955018,0.883041561,0.900123775,0.849757791,0.290385127,0.163700685,0.882092357,0.882080555,0.873241425
20,0.317557126,0.196146533,0.87608099,0.897530138,0.838569403,0.284049749,0.150977865,0.883990705,0.893253505,0.864387929
21,0.309825897,0.186301872,0.882566988,0.900816739,0.849873483,0.271306455,0.152166724,0.890740335,0.911443591,0.858329594
22,0.30083406,0.18269138,0.888261974,0.909757972,0.851038575,0.285105586,0.161559001,0.881881475,0.939145148,0.807879984
23,0.292034417,0.17889522,0.883885264,0.902568817,0.849553764,0.271195859,0.158207506,0.89179498,0.906327784,0.865458965
24,0.284350246,0.174780622,0.891425848,0.916900516,0.852329433,0.271508247,0.160786137,0.888841987,0.941823661,0.821118534
