epochs,loss,dense_21_loss,dense_27_loss,dense_21_mae,dense_21_accuracy,dense_21_precision,dense_21_recall,dense_27_mae,dense_27_accuracy,dense_27_precision,dense_27_recall,val_loss,val_dense_21_loss,val_dense_27_loss,val_dense_21_mae,val_dense_21_accuracy,val_dense_21_precision,val_dense_21_recall,val_dense_27_mae,val_dense_27_accuracy,val_dense_27_precision,val_dense_27_recall
0,3.240391493,0.694931805,2.545459032,0.499647915,0.519405186,0.416565895,0.146963984,1.209880948,0.313805103,0.579257429,0.489493906,2.734640598,0.692462862,2.042178154,0.499281436,0.51803416,0,0,1.152774811,0.190677077,0.568996727,1
1,2.724993229,0.689235687,2.035757303,0.497104257,0.54055053,0.505798817,0.0747665241,1.178034306,0.220681295,0.575785339,0.886185408,2.579093695,0.678132355,1.900961637,0.491648227,0.627293825,0.712696075,0.397915006,1.141925454,0.190677077,0.568996727,1
2,2.581936598,0.629186809,1.952749491,0.445870817,0.653659582,0.733212173,0.429573923,1.167411447,0.204281792,0.57253629,0.934914529,2.27674818,0.47829923,1.79844892,0.353577942,0.81311959,0.818119168,0.799951196,1.116868377,0.190677077,0.568996727,1
3,2.414105415,0.524207354,1.889898539,0.352813959,0.736606181,0.794161856,0.604015231,1.146243453,0.197268516,0.571594656,0.95628196,2.188616514,0.366689682,1.821926355,0.263236254,0.842860162,0.814910412,0.884022355,1.105331302,0.190677077,0.568996727,1
4,2.283842564,0.477954417,1.80588758,0.312224239,0.769563377,0.823060393,0.662764788,1.114874363,0.197584897,0.571868718,0.966372371,2.090617895,0.340400249,1.750217319,0.231457978,0.844758511,0.842081964,0.843886614,1.085589409,0.190677077,0.568996727,1
5,2.221002817,0.448188156,1.772814631,0.290975988,0.784802794,0.820803821,0.703942597,1.100213289,0.200168744,0.57402277,0.968038976,2.064174414,0.329197884,1.734976411,0.224884212,0.852351844,0.858266115,0.838227689,1.085137725,0.190677077,0.568996727,1
6,2.1492064,0.418413222,1.730793595,0.271031588,0.800727665,0.835220873,0.728593707,1.08881712,0.191678971,0.573220789,0.992781579,2.033843756,0.31035614,1.723487377,0.204984277,0.857835889,0.845393538,0.871686637,1.077279329,0.190677077,0.568996727,1
7,2.096039534,0.403636009,1.692403913,0.257557452,0.8174963,0.818036258,0.800184309,1.070709109,0.190993458,0.572750211,0.999199986,1.983179331,0.306780964,1.676398158,0.211059809,0.865640163,0.885976672,0.835184991,1.065867662,0.190677077,0.568996727,1
8,2.037981033,0.391094506,1.646885991,0.251733154,0.834844947,0.810110569,0.852705836,1.058254957,0.190940723,0.573966503,0.999545515,2.022613049,0.293553531,1.729059458,0.196989149,0.866905689,0.845739484,0.89415127,1.07396102,0.190677077,0.568996727,1
9,1.993515015,0.382216692,1.611298442,0.247316405,0.840381801,0.811904371,0.866347373,1.044345021,0.190993458,0.574851453,0.999699652,1.841910958,0.283006251,1.558904767,0.184016541,0.875342727,0.873018444,0.875572383,1.030116081,0.190677077,0.568996727,1
10,1.936175346,0.369048417,1.567126989,0.234589785,0.84908247,0.824009657,0.868065655,1.030210972,0.190940723,0.573706567,0.999640524,1.890017509,0.291834682,1.598183036,0.19036974,0.868804038,0.840138912,0.907953382,1.043896317,0.190677077,0.568996727,1
