epochs,loss,mae,accuracy,precision,recall,val_loss,val_mae,val_accuracy,val_precision,val_recall
0,2.73050642,1.229389191,0.343703866,0.562304616,0.345483303,2.13168931,1.164207935,0.182872817,0.574383259,1
1,2.146489143,1.181954384,0.239242777,0.572419763,0.788888276,1.900678754,1.131622791,0.182872817,0.574383259,1
2,1.996482015,1.160171032,0.215829998,0.575404227,0.907044709,1.865296841,1.121113777,0.182872817,0.574383259,1
3,1.927514434,1.144627094,0.2071293,0.574202657,0.933488786,1.853309393,1.118507385,0.182872817,0.574383259,1
4,1.852956176,1.126670599,0.207656607,0.575293005,0.936338902,1.703337789,1.084234715,0.182872817,0.574383259,1
5,1.804390073,1.111884475,0.204809114,0.575775385,0.955048025,1.678855896,1.082150221,0.182872817,0.574383259,1
6,1.752000093,1.091390729,0.196055681,0.577293873,0.995380461,1.567131042,1.055111766,0.182872817,0.574383259,1
7,1.713718057,1.075857401,0.201012447,0.579725504,0.993745446,1.554252267,1.045335054,0.182872817,0.574383259,1
8,1.648814321,1.051681161,0.20385994,0.580190182,0.993037164,1.535541773,1.02586472,0.182872817,0.574383259,1
9,1.599970818,1.031068802,0.220259443,0.591071069,0.99183768,1.440596342,0.98562336,0.214933559,0.592639148,0.998949528
10,1.569736838,1.00718224,0.245201439,0.605521679,0.979826152,1.449020863,0.978134334,0.217886522,0.594545543,0.999342084
11,1.527905703,0.984160185,0.264659345,0.617182195,0.97774899,1.484655857,0.96624279,0.255853206,0.621180415,0.99450922
12,1.494624257,0.961274803,0.277420372,0.62686044,0.971535265,1.3772012,0.894602597,0.345496744,0.683370113,0.975192428
13,1.460657001,0.939960122,0.293556213,0.636490405,0.969057441,1.369083166,0.914900005,0.300780416,0.651178598,0.988589466
14,1.434486508,0.921104193,0.313541442,0.651025891,0.966960907,1.320454359,0.865786731,0.34233284,0.682070196,0.980876029
15,1.420017123,0.915926456,0.313699633,0.652313054,0.966983378,1.34629333,0.80123055,0.415102303,0.742512405,0.938052654
16,1.406920314,0.905501842,0.323454976,0.659079611,0.965122521,1.309366465,0.842656553,0.364690989,0.698391318,0.970026314
17,1.376527786,0.88209939,0.34017086,0.672376394,0.964959443,1.334301472,0.825268149,0.390002102,0.719927728,0.9629336
18,1.365516663,0.872305036,0.351982713,0.680639625,0.9583987,1.337432265,0.834669292,0.380088598,0.710613966,0.966732144
19,1.327372074,0.85739392,0.355304778,0.684066951,0.965349853,1.289612055,0.782824576,0.425859511,0.753377736,0.945023596
20,1.311149836,0.841172457,0.372284323,0.699758947,0.95685631,1.307002544,0.767136395,0.44357729,0.770928562,0.937615633
21,1.30188024,0.835502207,0.371862471,0.699830174,0.961309314,1.346119523,0.767166853,0.456443787,0.785097659,0.915517926
22,1.279212594,0.819131792,0.386574566,0.710609376,0.957760692,1.263324738,0.800056934,0.394431561,0.725452185,0.959417522
23,1.279733062,0.818026781,0.389738441,0.715037942,0.958774567,1.301199913,0.77108413,0.442522675,0.770793736,0.943218648
24,1.244717717,0.806775868,0.389791191,0.715264618,0.957454383,1.306704879,0.76532048,0.442100823,0.770443082,0.93073082
